genes,log2FoldChange_0,log2FoldChange_1,log2FoldChange_2
TMEM39B,0,0,1
PLEKHH3,0,0,1
IVNS1ABP,0,0,1
AFF3,1,0,0
RIIAD1,0,1,0
TMEM164,0,0,1
KRT35,0,1,0
FAM57A,0,1,0
F7,0,1,0
TMEM120A,0,0,1
EIF4E2,0,0,1
LHFPL6,0,0,1
FLRT2,1,0,0
ZNRF2,0,0,1
GIMAP1,1,0,0
MPP7,0,0,1
ROCK1,0,0,1
SLC25A45,0,0,1
MAPK1IP1L,0,0,1
MAP7D1,0,0,1
LYPLA1,0,0,1
TMEM131,1,0,0
SPEG,1,0,0
UPK2,0,1,0
C1QTNF6,0,0,1
SEC14L5,1,0,0
SLC30A4,1,0,0
FAM53B,0,0,1
PHF3,0,0,1
UCHL5,0,0,1
PYCR2,0,0,1
ARF6,0,0,1
TTF1,0,0,1
ZNF701,0,0,1
FBXO11,0,0,1
COMMD2,0,0,1
TMEM200C,0,0,1
GON7,0,0,1
CTBS,0,0,1
PERP,0,1,0
GPR25,0,0,1
IRX6,1,0,0
SEC11C,0,0,1
ORM2,0,1,0
SLC30A2,0,1,0
NPY1R,1,0,0
NKX2-1,0,1,0
LCLAT1,0,0,1
DNAH3,0,0,1
MYH6,0,1,0
LIPK,0,1,0
NRP2,1,0,0
DDX27,0,1,0
NOXA1,0,0,1
INHBA,0,1,0
TSN,0,0,1
DPY19L4,0,0,1
MB21D2,0,0,1
PLOD2,1,0,0
PECAM1,0,0,1
MUC20,0,0,1
CD1D,1,0,0
TMEM213,0,1,0
CDC42,0,0,1
NKIRAS1,0,0,1
RDX,0,0,1
NEMP2,0,0,1
IQCB1,0,0,1
CRIM1,0,0,1
STK31,0,1,0
ZNF653,0,0,1
CAV2,0,0,1
MYH9,0,0,1
PI16,1,0,0
ZFHX4,1,0,0
ZNF740,0,0,1
C1QA,1,0,0
TMEM185B,0,0,1
FAM172A,0,0,1
CDH18,1,0,0
WIF1,0,1,0
PRSS33,0,1,0
RBP3,0,1,0
FAM184A,1,0,0
COA4,0,0,1
LASP1,0,0,1
SAP25,0,0,1
GPSM3,0,0,1
INCA1,0,0,1
PRKACB,1,0,0
THBS2,0,1,0
CXCL6,0,1,0
FOXI2,1,0,0
PTPN1,0,0,1
C9ORF84,0,1,0
TMEM171,1,0,0
SNX4,0,0,1
RPL21,0,0,1
GALNT9,0,1,0
TDP2,1,0,0
NSUN4,0,0,1
LUZP1,0,0,1
SLC12A2,0,1,0
MGAT4C,1,0,0
EGFL6,0,1,0
UGT1A7,1,0,0
GRINA,0,1,0
B3GAT3,0,0,1
LARGE1,1,0,0
P2RY13,1,0,0
CDR2L,0,1,0
CRB1,1,0,0
CNN2,0,1,0
FBXW4,0,0,1
DUSP1,1,0,0
RPL35A,0,0,1
NUDT8,0,0,1
ORC4,0,0,1
UNC5CL,0,1,0
DDRGK1,0,0,1
TLL1,1,0,0
DLK1,0,1,0
TREM2,0,1,0
SPOCK3,1,0,0
SLC3A2,0,1,0
EPPIN,0,1,0
ZG16,1,0,0
FCGR2B,1,0,0
C19ORF38,0,0,1
SH3BGRL3,0,0,1
ETS2,0,0,1
SPC24,0,1,0
2-Mar,0,0,1
KLF8,1,0,0
SRD5A3,0,0,1
AMER2,1,0,0
UNC45B,1,0,0
CSE1L,0,1,0
MAN1A1,1,0,0
FAM50B,0,0,1
ACVR2A,0,0,1
CD1A,0,1,0
TRIM73,0,0,1
ASB6,0,0,1
RNF19B,0,0,1
MMP9,0,1,0
SYF2,0,0,1
EFR3A,0,0,1
RGS9,1,0,0
METTL23,0,0,1
TMEM135,0,0,1
MARVELD2,0,0,1
PBX4,0,1,0
MRLN,0,1,0
ARRDC1,0,0,1
RBPMS2,1,0,0
RFTN2,0,0,1
TUBG1,0,0,1
CNOT9,0,0,1
NCOR2,0,0,1
CTSW,1,0,0
ZNRF1,0,0,1
CD300E,0,0,1
FOXH1,0,0,1
CECR2,0,1,0
TSPAN9,0,0,1
DMAC1,0,0,1
SLC47A1,1,0,0
TM4SF1,0,1,0
SARAF,0,0,1
RND2,1,0,0
ABCG1,0,0,1
CCDC15,0,0,1
FRAT2,0,0,1
CLDN1,0,1,0
EIF2AK3,0,0,1
TMEM220,1,0,0
AP2A2,0,0,1
TRMT2B,0,0,1
FOXS1,0,1,0
CD70,0,1,0
GTF2I,0,0,1
SH2B3,0,0,1
FAM9A,0,1,0
SNRPA,0,0,1
TMEM266,0,0,1
RINT1,0,0,1
NPW,0,1,0
AKAP4,0,1,0
DVL1,0,0,1
VPS45,0,0,1
ARG1,0,0,1
HYAL2,0,0,1
WDR76,0,0,1
ACACA,0,0,1
DMPK,1,0,0
DUSP19,0,0,1
NUTM1,0,0,1
TRIOBP,0,0,1
NCAN,1,0,0
GLYATL2,0,0,1
SGK2,1,0,0
ARNT2,0,0,1
TCF21,1,0,0
CDSN,0,1,0
SMAD2,0,0,1
SH3GL2,1,0,0
RUSC1,0,0,1
CTSH,0,1,0
DOHH,0,0,1
MRPL58,0,0,1
SLC22A11,0,1,0
SERPINF2,0,1,0
B3GNTL1,0,1,0
FAM25A,0,1,0
GMPS,0,0,1
MTA2,0,0,1
SIX2,0,1,0
PLEKHA6,0,0,1
CD38,1,0,0
DDT,0,0,1
ACSM3,0,0,1
GIN1,0,0,1
CD37,1,0,0
CLIP2,0,0,1
GINS2,0,1,0
TMEM151B,1,0,0
RASGRP3,0,0,1
PTBP1,0,0,1
CAAP1,0,0,1
RAET1E,0,1,0
HOXA9,0,0,1
CYP4V2,0,0,1
MT1X,1,0,0
RUFY2,0,0,1
SRSF7,0,0,1
FBXW12,0,1,0
SMG7,0,0,1
C8ORF33,0,0,1
SPP1,0,1,0
SAMD5,0,0,1
GAN,0,0,1
SLC5A1,0,0,1
DPY19L2,1,0,0
C15ORF52,0,0,1
GLYAT,1,0,0
KANTR,0,1,0
RHOQ,0,0,1
MORN4,0,0,1
KRT9,1,0,0
RHPN1,0,1,0
HBA2,1,0,0
BMP4,0,1,0
MCM6,0,1,0
P2RY12,1,0,0
TNNC2,0,1,0
VMP1,0,0,1
GEN1,0,0,1
SNX29,0,0,1
PPP4C,0,0,1
TAL2,0,0,1
THADA,0,0,1
POR,0,0,1
CCDC87,0,0,1
POU5F1B,0,1,0
MFN2,0,0,1
MAK,0,0,1
DNA2,0,1,0
C1ORF174,0,0,1
PTPRO,0,1,0
REXO4,0,0,1
ICAM5,0,1,0
S100B,1,0,0
DENND2C,0,0,1
CDX2,0,0,1
GDPD2,1,0,0
DROSHA,0,0,1
ABHD6,0,0,1
CMPK2,0,0,1
GNB4,0,0,1
EGLN3,0,0,1
CCDC13,1,0,0
LGI3,1,0,0
CLDND2,0,0,1
RNF2,0,0,1
GALR3,0,0,1
BUD23,0,0,1
NPIPB3,0,0,1
SLC7A6OS,0,0,1
PCDHGB5,0,0,1
FAM46B,1,0,0
ME1,0,1,0
NLRP6,0,0,1
C1ORF226,0,0,1
UBR5,0,0,1
SRRM2,0,0,1
SMURF2,0,0,1
SCAND1,0,0,1
SIX4,0,1,0
LLPH,0,0,1
HSF5,0,0,1
F3,0,0,1
USP33,0,0,1
BAZ1B,0,0,1
SLC22A2,0,1,0
HES7,0,1,0
PZP,0,0,1
SELENOM,0,0,1
NCR3LG1,0,0,1
B4GALNT4,0,1,0
KIAA2013,0,0,1
AL161911.1,0,0,1
PARK7,0,0,1
TRIM10,0,0,1
ABCF1,0,0,1
MINOS1-NBL1,0,0,1
ADCY2,1,0,0
NID1,0,0,1
CREBZF,0,0,1
SMIM5,0,0,1
GAPDH,0,0,1
NPIPB5,0,1,0
RAD51D,0,0,1
BANF1,0,0,1
ABCC3,0,0,1
ZNF277,0,0,1
CTNNBL1,0,0,1
METTL27,0,1,0
OS9,0,0,1
ZNF467,0,0,1
PEAK1,0,0,1
KRT78,0,1,0
DNAH10,0,1,0
MSX1,0,1,0
H2AFY2,0,0,1
FUBP3,0,0,1
EIF2AK1,0,0,1
MAP1B,1,0,0
MRPS18C,0,0,1
RAMP3,0,0,1
MAP1LC3B,0,0,1
GGN,0,1,0
PROSER2,0,0,1
PACSIN2,1,0,0
DSCR3,0,0,1
TAPT1,0,0,1
FGF3,0,1,0
SESN2,1,0,0
C10ORF67,0,1,0
SMC3,0,0,1
MCFD2,0,0,1
SNX13,0,0,1
PNOC,1,0,0
RRP1B,0,0,1
SIGLEC7,0,0,1
LRRN4,0,1,0
RPS28,0,0,1
WAS,1,0,0
CLSTN1,0,0,1
ATP6V1G2,1,0,0
FXR2,0,0,1
NOL6,0,1,0
UTP3,0,0,1
KPNA3,0,0,1
FAM120A,0,0,1
KDM6B,0,0,1
RRP7A,0,0,1
SLC36A1,1,0,0
CCDC80,1,0,0
FAM171A2,0,0,1
NEU1,0,0,1
YTHDF3,0,0,1
LYSMD3,0,0,1
ID3,0,0,1
AHSA2,0,0,1
HIST1H2BO,0,1,0
CMC2,0,0,1
KLK1,1,0,0
LCN12,0,1,0
ZRANB3,0,0,1
AKNAD1,0,1,0
FANCA,0,1,0
SLC2A11,0,0,1
TCEA3,1,0,0
C20ORF204,0,1,0
SNX25,0,0,1
GPR3,0,1,0
MGAT3,0,0,1
GOLM1,1,0,0
KNDC1,0,1,0
IFNLR1,0,0,1
ZNF423,0,0,1
CCT7,0,0,1
STPG4,0,1,0
NARS2,0,0,1
ALPP,0,1,0
SLX4,0,0,1
ADAM28,1,0,0
KIAA0895L,0,0,1
FAM19A2,1,0,0
ERI1,0,0,1
COL3A1,0,1,0
FOXD2,1,0,0
HECTD4,0,0,1
TPM4,0,0,1
TIMP2,0,0,1
CFAP73,0,1,0
HAND1,1,0,0
DIAPH2,0,0,1
ANPEP,1,0,0
SQOR,1,0,0
GPBP1L1,0,0,1
KLHL4,1,0,0
CD1B,0,1,0
ZNF165,0,0,1
NOC4L,0,1,0
MRPL34,0,0,1
EEF1AKMT3,0,0,1
KCTD12,1,0,0
GRIA4,1,0,0
NLN,0,0,1
SELENON,0,0,1
NCR2,1,0,0
TTC5,0,0,1
CCDC137,0,0,1
LCNL1,0,0,1
NPEPL1,0,1,0
DCLK2,1,0,0
PIP4K2A,0,0,1
DLG4,0,0,1
TMEM211,0,1,0
GSC,0,1,0
SLC29A3,0,0,1
ARMCX6,0,0,1
ZEB1,1,0,0
NBPF26,0,0,1
TCP1,0,0,1
CLDN18,0,1,0
EIF2S1,0,0,1
HLA-DOA,0,0,1
ZGLP1,0,0,1
SF3B3,0,0,1
KAAG1,0,1,0
VHL,0,0,1
CDHR2,1,0,0
PTGS2,0,0,1
ATPAF2,0,0,1
GLB1L3,1,0,0
TRMT2A,0,0,1
MTHFSD,0,0,1
FATE1,0,0,1
SERPINB1,0,0,1
SLC22A18AS,1,0,0
DNMBP,0,0,1
FBXO7,0,0,1
AL662899.2,0,1,0
PCDHGA9,0,0,1
ARL8A,0,0,1
C20ORF194,1,0,0
NGF,1,0,0
NUP35,0,0,1
CLLU1,0,1,0
EFL1,0,0,1
FAM189A2,1,0,0
CKAP5,0,0,1
UBE2E2,0,0,1
GPR135,0,0,1
CLTC,0,0,1
IZUMO4,0,0,1
DOK7,0,1,0
POLR2K,0,0,1
NCOA5,0,0,1
ABI1,0,0,1
ARID5A,0,0,1
LAMA2,1,0,0
TFEC,0,0,1
NUTM2D,1,0,0
RIN1,0,1,0
LSS,0,0,1
PIM2,0,0,1
MSMO1,0,0,1
SRGAP2C,0,0,1
TPI1,0,0,1
CLEC14A,0,0,1
RSPH1,0,0,1
ANXA2,0,0,1
PSMD14,0,0,1
WSCD1,1,0,0
ZNF93,0,0,1
CMTM2,0,0,1
ADAMTS6,0,1,0
AC025165.3,0,0,1
ACTC1,0,0,1
SDSL,0,0,1
ISM2,0,1,0
TMEM61,1,0,0
HSDL1,0,0,1
MICAL2,0,0,1
NMT1,0,0,1
AKNA,0,0,1
VAC14,0,0,1
UGP2,1,0,0
DPH7,0,0,1
ARMC6,0,0,1
FGF21,0,1,0
PRR35,0,1,0
STX10,0,0,1
SHC3,0,0,1
IRF4,1,0,0
PYDC1,0,1,0
PLA2G5,1,0,0
ABCA13,0,0,1
ABHD3,1,0,0
RITA1,0,0,1
RPL18,0,0,1
NLGN1,1,0,0
TRABD2B,1,0,0
FAM110B,1,0,0
CCDC8,0,0,1
CEBPZOS,0,0,1
DOLK,0,0,1
RDH5,1,0,0
CNTFR,1,0,0
BEND6,1,0,0
CALCOCO1,0,0,1
RPS8,0,0,1
WWC3,0,0,1
DDX49,0,0,1
MFAP3L,0,0,1
AQP2,0,1,0
PIEZO2,0,0,1
TDRD5,0,1,0
LXN,1,0,0
SH2B1,0,0,1
NDUFAF4,0,0,1
VASH2,0,1,0
ABCA6,1,0,0
TGM4,1,0,0
TCHP,0,0,1
LAMB4,0,0,1
RPL24,0,0,1
PDE3A,1,0,0
PAGE2B,0,1,0
GKN2,1,0,0
RUNDC3B,1,0,0
ANKRD1,0,1,0
PABPC5,1,0,0
FAM20B,0,0,1
C1ORF21,1,0,0
ST5,0,0,1
SERF1B,1,0,0
GPR137,0,0,1
KRT20,1,0,0
CCDC85B,0,1,0
CSNK1G2,0,0,1
NR2C2AP,0,1,0
SPATA22,1,0,0
CATIP,0,1,0
RBPMS,0,0,1
PIGS,0,0,1
SLC25A15,0,0,1
TANC1,0,0,1
ATP2A1,0,1,0
SH2D3A,0,0,1
PNMA8C,1,0,0
UEVLD,0,0,1
C1QTNF7,1,0,0
TADA1,0,0,1
LINC00116,0,0,1
DEFB4A,0,1,0
PRR7,0,1,0
TBC1D13,0,0,1
TFDP1,0,0,1
PNO1,0,1,0
AFTPH,0,0,1
PPP1R11,0,0,1
SIGLEC15,0,1,0
CBX2,0,1,0
SLC24A2,0,1,0
PATL2,0,0,1
MNS1,0,0,1
PDIA3,0,0,1
MOB3B,1,0,0
MAPK8IP3,0,0,1
TCP10,1,0,0
RFXANK,0,0,1
NAT16,0,1,0
RNASEL,1,0,0
LPAR2,0,0,1
HABP2,0,1,0
LRRC37B,0,0,1
DMBX1,0,1,0
ZNF23,0,0,1
MPL,0,0,1
EDN3,1,0,0
CEACAM5,0,0,1
COPZ1,0,0,1
JCAD,1,0,0
PLS3,0,1,0
TMEM156,1,0,0
BCL11B,0,0,1
RILP,1,0,0
NAP1L1,0,1,0
RANBP3L,1,0,0
OTULIN,0,0,1
USE1,0,0,1
BICC1,0,0,1
FAM227B,0,0,1
MSN,0,0,1
LRRN3,1,0,0
PMVK,0,0,1
NRN1,0,0,1
PIGU,0,0,1
MOGAT2,1,0,0
MBD1,0,0,1
DLAT,0,0,1
FEZF1,0,1,0
HMGCLL1,1,0,0
ZNF33B,0,0,1
LHPP,0,0,1
TAF15,0,0,1
TMCO1,0,0,1
GMIP,0,0,1
HLA-DRA,0,0,1
ZNF12,0,0,1
MOSPD1,0,0,1
RASA1,0,0,1
USP44,1,0,0
BICDL2,0,0,1
SERBP1,0,0,1
HIST1H4C,0,1,0
GORASP1,0,0,1
ZHX1,0,0,1
GAL3ST1,0,0,1
C1ORF210,1,0,0
DAPK2,0,0,1
VNN3,0,1,0
SLC5A11,1,0,0
DOCK2,1,0,0
SRRM5,0,1,0
SUGCT,1,0,0
KRTAP3-2,0,1,0
KCNK5,0,0,1
ELAVL1,0,0,1
FAM182B,0,0,1
IFIT2,0,0,1
TMPRSS3,0,1,0
RBFA,0,0,1
ZNF280C,0,1,0
JPH3,1,0,0
FLVCR1,0,0,1
DOCK4,0,0,1
RFPL4B,0,1,0
EIF2B1,0,0,1
INIP,0,0,1
PARD6B,0,0,1
PDZRN3,1,0,0
KIAA0391,0,0,1
INTS3,0,0,1
NF2,0,0,1
HSPA12B,0,0,1
ACOT2,0,0,1
MRPS31,0,0,1
LRTOMT,0,0,1
SDAD1,0,0,1
AHCTF1,0,0,1
LDAH,0,0,1
KDM4D,0,0,1
MUC16,0,1,0
GPR18,1,0,0
INPP4A,0,0,1
ATP5G3,0,0,1
CLVS2,1,0,0
STAC2,1,0,0
APH1A,0,0,1
KIAA1109,0,0,1
ENOX1,1,0,0
DPF2,0,0,1
DIRC2,0,0,1
ZFP69B,0,1,0
SERPINB3,0,1,0
C14ORF39,1,0,0
E2F4,0,0,1
KCNT1,0,1,0
AGMO,1,0,0
GALNT15,1,0,0
KCNMB1,1,0,0
FOXJ1,0,1,0
GCNT2,1,0,0
AKAP2,1,0,0
FAM229B,0,0,1
NLRC4,0,0,1
NOP58,0,1,0
PRPS1,0,0,1
PPP1R1A,1,0,0
ZNF134,1,0,0
AMBP,0,1,0
DCAF6,0,0,1
ASPM,0,1,0
MANEAL,0,1,0
AC068580.4,0,0,1
TMBIM4,0,0,1
DPYS,0,0,1
ROS1,1,0,0
CHL1,1,0,0
DALRD3,0,0,1
ANKRD6,0,0,1
GJA4,0,0,1
ZMIZ1,0,0,1
TMSB10,0,0,1
ZNF283,0,0,1
HSPE1-MOB4,0,0,1
CFAP53,0,0,1
ANXA6,0,0,1
C5ORF38,0,1,0
CCDC115,0,0,1
SRSF2,0,0,1
RNF7,0,0,1
TSPAN11,1,0,0
GRIPAP1,0,0,1
FAM200A,0,0,1
EIF2AK4,0,0,1
EPS8L2,0,0,1
COL6A2,0,0,1
CBX3,0,1,0
DNAH12,0,1,0
ZNF75D,0,0,1
ENPP3,0,0,1
FAM133A,1,0,0
HSD17B14,0,0,1
PSPN,0,0,1
GLI3,1,0,0
FRMD3,1,0,0
RINL,0,0,1
CNTNAP4,1,0,0
NEK4,0,0,1
CHRNA3,1,0,0
ASB8,0,0,1
ACTR5,0,1,0
TAGLN2,0,0,1
SLITRK4,1,0,0
KNOP1,0,0,1
RFX4,0,0,1
FDCSP,1,0,0
EFNB1,0,0,1
SUOX,0,0,1
PDHB,0,0,1
KLF7,0,0,1
ARSG,0,0,1
TDGF1,0,1,0
ARMCX2,0,0,1
CD163,1,0,0
LDLRAD2,0,0,1
TTC23,0,0,1
TLR7,1,0,0
EEF1D,0,0,1
TMEM179,1,0,0
CFAP70,0,0,1
APOD,0,0,1
MRPS5,0,0,1
C9ORF50,0,1,0
IL15RA,0,0,1
UNC79,1,0,0
CSTF3,0,0,1
EIF4B,0,0,1
TTC12,0,0,1
CSMD3,1,0,0
PKN1,0,0,1
PCDH19,0,0,1
CLECL1,1,0,0
EXPH5,0,0,1
PRR9,0,1,0
GLIPR2,1,0,0
CXCL17,0,1,0
CCDC81,0,0,1
CNNM4,1,0,0
RAB37,1,0,0
LRRD1,0,0,1
CHRNA4,1,0,0
USP30,0,0,1
HDHD2,0,0,1
FAM200B,0,0,1
ZNF182,0,0,1
FBRS,0,0,1
SDC2,0,0,1
SBNO2,0,0,1
SORCS2,0,0,1
RNF11,0,0,1
C16ORF95,0,0,1
PRTFDC1,0,0,1
C1ORF112,0,1,0
LAPTM4A,0,0,1
NRK,0,0,1
RFTN1,0,0,1
PDZD8,0,0,1
TBC1D4,0,0,1
RYK,0,0,1
USP2,1,0,0
CYP51A1,0,0,1
VCL,1,0,0
PLA2G4D,0,1,0
ADAM15,0,0,1
SLC32A1,1,0,0
SIN3B,0,0,1
PLPPR4,0,0,1
PRKACA,0,0,1
PALM3,0,1,0
TPPP2,1,0,0
C1QL3,0,0,1
SYNJ1,0,0,1
MICALL1,0,0,1
CNTD1,0,0,1
PNPLA1,0,1,0
BMF,1,0,0
CELA3B,1,0,0
PSEN1,0,0,1
ZFP82,1,0,0
CADM3,1,0,0
ANGPT2,0,1,0
NCK1,0,0,1
MEIOC,0,0,1
SLC16A12,1,0,0
FOXC2,0,0,1
IL3RA,0,0,1
PPP6R1,0,0,1
SLC4A4,1,0,0
HNRNPR,0,0,1
COLGALT1,0,0,1
RBBP7,0,0,1
E4F1,0,0,1
GTF2IRD2B,0,0,1
GSKIP,0,0,1
RPUSD3,0,0,1
HOXA13,0,0,1
MVP,0,0,1
ASTN1,1,0,0
APOBEC3D,0,0,1
PLIN4,1,0,0
SLC22A1,0,0,1
NAP1L5,0,0,1
SPON1,1,0,0
GTF2E2,0,0,1
POU1F1,0,0,1
PTGES,0,0,1
DAO,1,0,0
LCP1,0,0,1
MXD4,0,0,1
NSUN3,0,0,1
DDX60,1,0,0
ONECUT2,0,1,0
BLMH,0,0,1
IGSF11,1,0,0
SLC16A4,0,0,1
FAM111A,0,0,1
LARP4,0,0,1
SLC35C2,0,0,1
JMJD7,0,1,0
TSR1,0,0,1
POLR3F,0,0,1
ZDHHC24,0,0,1
ZMYM5,0,0,1
BRINP2,1,0,0
KRT38,0,1,0
RBMS1,0,0,1
MRI1,0,0,1
ANKRD31,0,1,0
PRKN,1,0,0
NAP1L3,1,0,0
SMAD7,0,0,1
HSPBP1,0,0,1
SULT4A1,0,0,1
NOC3L,0,1,0
ACTBL2,0,1,0
NPAP1,1,0,0
CEP164,0,0,1
LTB,0,0,1
ADPRH,0,0,1
NADK2,0,0,1
HDAC3,0,0,1
SENP1,0,0,1
DUSP27,0,1,0
MORC4,0,1,0
STRADA,0,0,1
CENPL,0,0,1
DCAF4,0,0,1
ITGA3,0,0,1
LIFR,1,0,0
NCS1,1,0,0
TNFRSF13B,1,0,0
B3GLCT,0,0,1
REXO2,0,0,1
ABL2,0,0,1
SERTAD1,0,0,1
UBN1,0,0,1
GAS1,0,0,1
CADM1,0,0,1
HMGN2,0,0,1
CUL1,0,0,1
CMBL,1,0,0
LINGO3,0,0,1
PCYT2,0,0,1
GLRX2,0,0,1
TSC22D3,1,0,0
CHST15,1,0,0
SMARCB1,0,0,1
HIST1H2AJ,0,1,0
HOXB5,0,0,1
AKIRIN1,0,0,1
ST8SIA6,1,0,0
SYNGR4,0,1,0
ZNF195,0,0,1
ARL4C,0,0,1
ZNF239,0,1,0
TNF,0,0,1
MUC6,0,1,0
COX18,0,0,1
SECTM1,1,0,0
FBXO39,0,1,0
BNC2,1,0,0
SLC40A1,0,0,1
RHBDL1,0,1,0
EFTUD2,0,0,1
SLX1A,0,1,0
ZNF160,0,0,1
APPL2,1,0,0
RETREG2,0,0,1
FAM163A,1,0,0
BMP2K,0,0,1
ACAD8,0,0,1
ZAR1,0,1,0
ERVMER34-1,0,1,0
AP004243.1,0,1,0
SP8,0,1,0
CCDC169,1,0,0
LYZL4,0,1,0
PTPN11,0,0,1
ORC2,0,0,1
CCL3,0,1,0
SLCO1A2,0,1,0
KLHDC8B,1,0,0
MIPEP,0,0,1
MGAT4A,1,0,0
C2CD2,0,0,1
TNFAIP8L1,0,0,1
MEPE,0,1,0
CIART,1,0,0
RCN1,0,1,0
CLMN,1,0,0
ING3,0,0,1
KRBOX4,0,0,1
TRMT10C,0,0,1
CEP19,0,0,1
PCDHA4,0,0,1
ACKR2,1,0,0
NAPEPLD,0,0,1
EMD,0,0,1
CD48,1,0,0
SERPINA5,0,0,1
RBM33,0,0,1
RPS13,0,0,1
GFRA1,1,0,0
XRN2,0,0,1
TMEM126B,0,0,1
BCL2L15,1,0,0
AMBRA1,0,0,1
UBE2D3,0,0,1
CALD1,1,0,0
MINDY1,0,0,1
OSTM1,0,0,1
LY75,0,0,1
CCDC191,0,0,1
WDR59,0,0,1
C9ORF57,0,1,0
SRPK3,0,0,1
CCL4,0,0,1
SLC22A13,0,0,1
HCN2,0,0,1
HNMT,0,0,1
ZNF175,0,0,1
HAUS5,0,1,0
SLC4A1,1,0,0
SMARCAL1,0,0,1
GNL3L,0,0,1
PIAS1,0,0,1
TAS2R3,0,1,0
HILPDA,0,1,0
TIA1,0,0,1
INSL4,0,1,0
PYCR1,0,1,0
SLC13A3,0,1,0
MXD3,0,0,1
PPP1R26,0,0,1
GPR19,0,1,0
RNF208,0,1,0
AKT3,1,0,0
AC008878.3,1,0,0
FAM153A,1,0,0
PTPRS,0,0,1
EGFR,0,0,1
GGPS1,0,0,1
PLK3,0,0,1
ZNF789,0,0,1
MLLT10,0,0,1
GFI1B,1,0,0
DOCK1,0,0,1
LRRC57,0,0,1
TRPM8,0,1,0
EMG1,0,0,1
ATAD3A,0,1,0
BANK1,1,0,0
CHRM2,1,0,0
GPR174,1,0,0
BECN2,0,1,0
PREB,0,0,1
C4BPA,0,0,1
DNASE1L1,0,0,1
POM121,0,0,1
PFDN1,0,0,1
WDR45B,0,0,1
ABCC6,0,0,1
FBXO47,0,1,0
IL18RAP,0,0,1
DOK3,0,0,1
IL20,0,1,0
TTI1,0,1,0
FAM83C,0,1,0
RNF8,0,0,1
CCNE1,0,1,0
SPARCL1,1,0,0
TRUB1,0,0,1
CDH26,0,0,1
PPP4R3A,0,0,1
BRCA1,0,1,0
EPC2,0,0,1
EFCAB7,0,0,1
TEKT1,0,1,0
CLIP1,0,0,1
CHST9,1,0,0
KCTD19,0,1,0
UGDH,1,0,0
CCDC3,0,0,1
AC009014.1,1,0,0
HNRNPL,0,0,1
SPTBN5,0,1,0
TRUB2,0,0,1
AHNAK,1,0,0
ZNF432,0,0,1
KLRC1,1,0,0
ZNF783,0,0,1
TVP23B,0,0,1
NGDN,0,0,1
UTP18,0,0,1
RGS20,0,1,0
NTSR1,1,0,0
SYT5,1,0,0
ANKHD1-EIF4EBP3,0,0,1
ITSN1,0,0,1
CRYBA2,1,0,0
KIAA0556,0,0,1
TUBA1A,1,0,0
PGM1,1,0,0
ARHGEF5,0,0,1
KMT5C,0,0,1
NKX2-2,1,0,0
RIC1,0,0,1
MALL,1,0,0
NT5C3A,0,0,1
ADAP1,0,0,1
BRF1,0,0,1
PELI1,0,0,1
ZNF606,0,0,1
CDK20,0,0,1
MYOZ1,0,0,1
PCDHB1,1,0,0
MYLK3,1,0,0
MAD2L1,0,1,0
HSPA1A,0,0,1
NUPR2,1,0,0
KAT2B,1,0,0
SRRM3,0,0,1
KLK8,0,1,0
CLDN5,1,0,0
PSMB9,0,0,1
CCL24,0,1,0
MRPL45,0,0,1
ZCRB1,0,0,1
NRM,0,0,1
IGSF9B,0,0,1
MYOZ3,1,0,0
STK26,0,0,1
HAUS6,0,1,0
PGM2L1,0,0,1
HIST2H3D,0,1,0
PAFAH1B2,0,0,1
CD19,1,0,0
BUB3,0,0,1
ASB2,1,0,0
MYL12B,0,0,1
LUM,0,0,1
ZNF69,0,0,1
MTRNR2L13,1,0,0
TBR1,0,1,0
USH1C,0,0,1
C18ORF8,0,0,1
GRIK3,1,0,0
GULP1,0,0,1
TEP1,0,0,1
ACVR1C,1,0,0
HSF4,0,1,0
FBXO5,0,0,1
CENPW,0,1,0
APBA1,1,0,0
ZNF587,0,0,1
CD180,1,0,0
RASL10A,0,0,1
SEC61A1,0,0,1
PDZK1,1,0,0
SLC13A1,1,0,0
GPR31,1,0,0
APBA3,0,0,1
RELN,1,0,0
DSCC1,0,1,0
UBAP1,0,0,1
MS4A2,1,0,0
MSX2,0,1,0
C11ORF65,0,0,1
RPS25,0,0,1
MORC2,0,0,1
ACADL,1,0,0
OPCML,0,1,0
ATG5,0,0,1
KMO,0,0,1
SH2D1A,0,0,1
AMIGO3,0,1,0
HIST2H4A,0,0,1
SHROOM3,1,0,0
TRIAP1,0,0,1
RPP30,0,0,1
POLR1D,0,1,0
NLRX1,0,0,1
FKBP9,0,0,1
FBXO43,0,1,0
PPWD1,0,0,1
POU3F3,1,0,0
KNL1,0,0,1
SPINK5,1,0,0
HMGCL,0,0,1
TEC,0,0,1
HUNK,0,1,0
BICDL1,0,1,0
AHCY,0,1,0
ATL3,0,0,1
UACA,0,0,1
MX2,0,0,1
MED7,0,0,1
GRHPR,0,0,1
IL24,0,0,1
FAM72B,0,0,1
HTR3B,1,0,0
ACTN2,0,0,1
CCDC24,0,0,1
TTC34,0,0,1
TRIM3,0,0,1
CDKAL1,0,0,1
FAM110C,0,0,1
ZNF404,0,0,1
ATF2,0,0,1
ENPP1,1,0,0
SMARCC1,0,0,1
OBSCN,0,0,1
